device_id,browser_type,browser_version_major,browser_version_minor,browser_version_patch,device_type,device_version_major,device_version_minor,device_version_patch,os_type,os_version_major,os_version_minor,os_version_patch
2458031623880220700,Chrome Mobile,71,0,3578,XiaoMi Redmi 8,Redmi,0,Build,Android,0,0,0
8236308078310335000,Mobile Safari UI/WKWebView,13,6,1,iPhone,0,0,0,iOS,13,6,1
10603196602577750000,Samsung Internet,13,2,0,Samsung SM-J700F,0,0,0,Android,6,0,1
4604038860377068500,Firefox iOS,31,0,0,iPhone,0,0,0,iOS,14,4,0
5196709312126349000,Firefox,13,0,1,Other,0,0,0,Windows,7,0,0
14194071344330203000,Samsung Internet,13,2,0,Samsung SM-G965F,0,0,0,Android,0,0,0
11167040975018040000,Chrome,80,0,3987,Other,0,0,0,Windows,7,0,0
8079932469705554000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,11,1,0
15092063260447520000,Chrome Mobile,85,0,4183,Generic Smartphone,0,0,0,Android,0,0,0
9173937858493342000,Chrome Mobile,89,0,4389,Generic Smartphone,0,0,0,Android,8,0,0
14610224680633250000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,15,4
592474674533258100,Samsung Internet,13,2,0,Samsung SM-A520F,0,0,0,Android,8,0,0
2877192766957868500,Mobile Safari UI/WKWebView,14,4,1,iPhone,0,0,0,iOS,14,4,1
16468450427994493000,Chrome Mobile,88,0,4324,Generic Smartphone,0,0,0,Android,6,0,1
10048215961076429000,Chrome Mobile WebView,87,0,4280,ELE-L29,0,0,0,Android,0,0,0
5277363137850850000,Samsung Internet,13,2,0,Samsung SM-G950F,0,0,0,Android,0,0,0
2911726650093086000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,11,0,1
15478998386758361000,Chrome Mobile WebView,89,0,4389,VOG-L29,0,0,0,Android,0,0,0
2054778566658841900,Chrome Mobile,89,0,4389,Generic Smartphone,0,0,0,Android,6,0,1
12116007454954439000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,11,2,0
4718831005681779000,Chrome,87,0,4280,Other,0,0,0,Mac OS X,10,15,5
3145050594442460700,Samsung Internet,13,2,0,Samsung SM-A315G,0,0,0,Android,0,0,0
6214899967377403000,Samsung Internet,13,2,0,Samsung SM-N975U1,0,0,0,Android,0,0,0
